symbol,year,company,legal_reserve,exchange,approved_date,restatement,integrative,current_liabilities,noncurrent_liabilities,shareholders_equity,approved_shareholders_equity,current_assets,noncurrent_assets,total_liabilities,total_liabilities_plus_shareholders_equity,total_assets,audited,public_rights,net_fixed_assets,fiscal_year,other_reserves,capital,investments_and_other_assets,retained_earnings,type
آسیا,1393,بیمه آسیا,75419.0,,13940820,بلی,خیر,21724352.0,572170.0,2522819.0,,15465623.0,9679535.0,22622339.0,25145158.0,25145158.0,خیر,,,13931229,16597.0,2300000.0,5273803.0,15224.0,*12ماهه
آسیا,1394,بیمه آسیا,88469.0,,13950825,بلی,خیر,25012856.0,724295.0,2849551.0,,18119463.0,11042782.0,26312694.0,29162245.0,29162245.0,خیر,,,13941229,,2300000.0,5935725.0,302807.0,*12ماهه
آسیا,1395,بیمه آسیا,106311.0,,13960827,بلی,خیر,30779399.0,899394.0,3065490.0,,23149852.0,11594431.0,31678793.0,34744283.0,34744283.0,خیر,,,13951229,16597.0,2300000.0,6184086.0,465220.0,*12ماهه
آسیا,1396,بیمه آسیا,127491.0,بورس تهران,13970730,بلی,خیر,38456391.0,978806.0,3297974.0,,29369153.0,13364018.0,39435197.0,42733171.0,42733171.0,خیر,,,13961229,16597.0,2300000.0,6794867.0,634166.0,*12ماهه
آسیا,1397,بیمه آسیا,159716.0,بورس تهران,13980425,,-,49736838.0,1199565.0,3701680.0,3425680.0,37597216.0,14545881.0,50936403.0,54638083.0,54638083.0,-,,,13971229,16597.0,2300000.0,9868440.0,941197.0,مجمع
آسیاتک,1389,انتقال داده های آسیاتک,,,13910410,بلی,خیر,73260.0,89083.0,-23370.0,,60259.0,78714.0,162343.0,138973.0,138973.0,خیر,,74220.0,13891229,,34000.0,240.0,-57370.0,*12ماهه
آسیاتک,1391,انتقال داده های آسیاتک,,,13920401,خیر,خیر,156505.0,13696.0,45064.0,,66325.0,148940.0,170201.0,215265.0,215265.0,بلی,,135547.0,13911229,,85000.0,230.0,-39936.0,*12ماهه
آسیاتک,1392,انتقال داده های آسیاتک,,,13930328,خیر,خیر,309410.0,15699.0,45408.0,,109891.0,260626.0,325109.0,370517.0,370517.0,بلی,,234232.0,13921229,,85000.0,230.0,-39592.0,*12ماهه
آسیاتک,1393,انتقال داده های آسیاتک,2602.0,,13940324,خیر,خیر,608605.0,3206.0,110089.0,,221213.0,500687.0,611811.0,721900.0,721900.0,بلی,,407658.0,13931229,,85000.0,28556.0,22487.0,*12ماهه
آسیاتک,1394,انتقال داده های آسیاتک,8500.0,,13950420,,-,1102534.0,32813.0,204749.0,192748.0,372827.0,967269.0,1135347.0,1340096.0,1340096.0,-,,710616.0,13941229,,85000.0,86552.0,111249.0,مجمع
آسیاتک,1395,انتقال داده های آسیاتک,8500.0,,13960418,,-,1613673.0,210350.0,357720.0,339720.0,818350.0,1363393.0,1824023.0,2181743.0,2181743.0,-,,869490.0,13951229,,85000.0,162698.0,264220.0,مجمع
آسیاتک,1396,انتقال داده های آسیاتک,20354.0,بورس تهران,13970918,بلی,خیر,2484486.0,156026.0,522896.0,,520418.0,2642990.0,2640512.0,3163408.0,3163408.0,خیر,,1894406.0,13961229,,300000.0,84034.0,202542.0,*12ماهه
آپ,1392,آسان پرداخت پرشین,4473.0,,13930327,خیر,خیر,654406.0,61663.0,844463.0,,539889.0,1020643.0,716069.0,1560532.0,1560532.0,بلی,,1013170.0,13921229,,754996.0,,84994.0,*12ماهه
آپ,1393,آسان پرداخت پرشین,40362.0,,13950711,خیر,خیر,1055185.0,20630.0,1536030.0,,984178.0,1627667.0,1075815.0,2611845.0,2611845.0,خیر,,1612697.0,13931229,,754996.0,163.0,740672.0,*12ماهه
آپ,1395,آسان پرداخت پرشین,100000.0,,13961030,بلی,خیر,2026081.0,228690.0,2926678.0,,1720399.0,3461050.0,2254771.0,5181449.0,5181449.0,خیر,,3431488.0,13951229,,1000000.0,12721.0,1826678.0,*12ماهه
آپ,1396,آسان پرداخت پرشین,200000.0,بورس تهران,13970914,بلی,خیر,3279196.0,79006.0,4128548.0,,2735709.0,4751041.0,3358202.0,7486750.0,7486750.0,خیر,,4634734.0,13961229,,2000000.0,95194.0,1928548.0,*12ماهه
آپ,1397,آسان پرداخت پرشین,265000.0,بورس تهران,13980423,,-,2656243.0,802212.0,5839281.0,3719281.0,3286275.0,6011461.0,3458455.0,9297736.0,9297736.0,-,,5786489.0,13971229,,2650000.0,178223.0,2924281.0,مجمع
آکنتور,1380,کنتورسازی ایران,1035.0,,13810410,,-,93110.0,22733.0,33554.0,33554.0,130067.0,19329.0,115842.0,149396.0,149396.0,-,,17284.0,13801229,9223.0,10350.0,2045.0,12946.0,مجمع
آکنتور,1381,کنتورسازی ایران,1035.0,,13820331,,-,107815.0,25829.0,49472.0,41481.0,164606.0,18509.0,133644.0,183115.0,183115.0,-,,16525.0,13811229,9223.0,10350.0,1984.0,28864.0,مجمع
